route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
GS,A20171105SAT,A20171105SAT_051000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_051400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_052000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_052400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_053000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_053400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_054000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_054400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_055000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_055400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_056000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_056400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_057000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_057400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_058000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_058400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_059000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_059400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_060000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_060400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_061000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_061400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_062000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_062400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_063000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_063400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_064000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_064400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_065000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_065400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_066000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_066400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_067000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_067400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_068000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_068400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_069000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_069400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_070000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_070400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_071000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_071400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_072000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_072400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_073000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_073400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_074000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_074400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_075000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_075400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_076000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_076400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_077000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_077400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_078000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_078400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_079000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_079400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_080000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_080400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_081000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_081400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_082000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_082400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_083000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_083400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_084000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_084400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_085000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_085400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_086000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_086400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_087000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_087400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_088000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_088400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_089000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_089400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_090000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_090400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_091000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_091400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_092000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_092400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_093000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_093400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_094000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_094400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_095000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_095400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_096000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_096400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_097000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_097400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_098000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_098400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_099000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_099400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_100000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_100400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_101000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_101400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_102000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_102400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_103000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_103400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_104000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_104400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_105000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_105400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_106000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_106400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_107000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_107400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_108000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_108400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_109000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_109400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_110000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_110400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_111000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_111400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_112000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_112400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_113000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_113400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_114000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_114400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_115000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_115400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_116000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_116400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_117000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_117400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_118000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_118400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_119000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_119400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_120000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_120400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_121000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_121400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_122000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_122400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_123000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_123400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_124000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_124400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_125000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_125400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_126000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_126400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_127000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_127400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_128000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_128400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_129000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_129400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_130000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_130400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_131000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_131400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_132000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_132400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_133000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_133400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_134000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_134400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_135000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_135400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_136000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_136400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_137000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_137400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_138000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_138400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_139000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_139400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_140000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_140400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_141000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_141400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_142000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_142400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_143000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_143400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_144000_GS.N01R,TIMES SQ - 42 ST,0,,GS.N01R
GS,A20171105SAT,A20171105SAT_144400_GS.S01R,GRAND CENTRAL - 42 ST,1,,GS.S01R
GS,A20171105SAT,A20171105SAT_044500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_044900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_045500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_045900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_046500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_046900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_047500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_047900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_048500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_048900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_049500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_049900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_050500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_050900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_051500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_051900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_052500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_052900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_053500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_053900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_054500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_054900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_055500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_055900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_056500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_056900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_057500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_057900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_058500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_058900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_059500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_059900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_060500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_060900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_061500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
GS,A20171105SAT,A20171105SAT_061900_GS.S03R,GRAND CENTRAL - 42 ST,1,,GS.S03R
GS,A20171105SAT,A20171105SAT_062500_GS.N03R,TIMES SQ - 42 ST,0,,GS.N03R
